key,value
DragToDrop.Discard.Drop,丢弃物品
DragToDrop.Discard.DropUnconfigured,"丢弃物品
设置中可以调整在仓库中丢弃物品时的行为"
DragToDrop.Discard.SendToStorage,放回仓库
DragToDrop.Discard.Sell,出售
DragToDrop.Config.SizeDeltaX,丢弃区域宽度（初始为927）
DragToDrop.Config.SizeDeltaY,丢弃区域高度（初始为896）
DragToDrop.Config.AnchoredPosX,丢弃区域横向偏移（初始为0）
DragToDrop.Config.AnchoredPosY,丢弃区域纵向偏移（初始为60）
DragToDrop.Config.FontSize,字体大小（初始为24）
DragToDrop.Config.AlphaOnActive,丢弃区域透明度（初始为0.3）
DragToDrop.Config.EnableShiftLeftClick,启用Shift+左键=双击
DragToDrop.Config.DropAtBaseAction,在基地丢弃物品时的行为
DragToDrop.Config.DropAtBase.DropUnconfigured,丢弃到脚下
DragToDrop.Config.DropAtBase.Drop,丢弃到脚下（关闭区域中的设置提示）
DragToDrop.Config.DropAtBase.SendToStorage,放入仓库
DragToDrop.Config.DropAtBase.Sell,以所有商人里价格最好的出售（广告：为避免误操作，建议订阅物品回购mod）
